epsilon,margin,binding_s1,binding_tree
0.165000000,0.118785431928,0,"(a0,a0,a1)"
0.166000000,0.118539083211,0,"(a0,a0,a1)"
0.167000000,0.118291934475,0,"(a0,a0,a1)"
0.168000000,0.118043986171,0,"(a0,a0,a1)"
0.169000000,0.117795238750,0,"(a0,a0,a1)"
0.170000000,0.117545692662,0,"(a0,a0,a1)"
0.171000000,0.117295348352,0,"(a0,a0,a1)"
0.172000000,0.117044206264,0,"(a0,a0,a1)"
0.173000000,0.116792266841,0,"(a0,a0,a1)"
0.174000000,0.116539530521,0,"(a0,a0,a1)"
0.175000000,0.116285997742,0,"(a0,a0,a1)"
0.176000000,0.116031668938,0,"(a0,a0,a1)"
0.177000000,0.115776544544,0,"(a0,a0,a1)"
0.178000000,0.115520624989,0,"(a0,a0,a1)"
0.179000000,0.115263910702,0,"(a0,a0,a1)"
0.180000000,0.115006402108,0,"(a0,a0,a1)"
0.181000000,0.114748099633,0,"(a0,a0,a1)"
0.182000000,0.114489003697,0,"(a0,a0,a1)"
0.183000000,0.114229114720,0,"(a0,a0,a1)"
0.184000000,0.113968433120,0,"(a0,a0,a1)"
0.185000000,0.113706959311,0,"(a0,a0,a1)"
0.186000000,0.113444693707,0,"(a0,a0,a1)"
0.187000000,0.113181636719,0,"(a0,a0,a1)"
0.188000000,0.112917788754,0,"(a0,a0,a1)"
0.189000000,0.112653150220,0,"(a0,a0,a1)"
0.190000000,0.112387721520,0,"(a0,a0,a1)"
0.191000000,0.112121503058,0,"(a0,a0,a1)"
0.192000000,0.111854495232,0,"(a0,a0,a1)"
0.193000000,0.111586698441,0,"(a0,a0,a1)"
0.194000000,0.111318113080,0,"(a0,a0,a1)"
0.195000000,0.111048739542,0,"(a0,a0,a1)"
0.196000000,0.110778578220,0,"(a0,a0,a1)"
0.197000000,0.110507629502,0,"(a0,a0,a1)"
0.198000000,0.110235893775,0,"(a0,a0,a1)"
0.199000000,0.109963371425,0,"(a0,a0,a1)"
0.200000000,0.109690062834,0,"(a0,a0,a1)"
0.201000000,0.109415968383,0,"(a0,a0,a1)"
0.202000000,0.109141088451,0,"(a0,a0,a1)"
0.203000000,0.108865423413,0,"(a0,a0,a1)"
0.204000000,0.108588973645,0,"(a0,a0,a1)"
0.205000000,0.108311739519,0,"(a0,a0,a1)"
0.206000000,0.108033721404,0,"(a0,a0,a1)"
0.207000000,0.107754919670,0,"(a0,a0,a1)"
0.208000000,0.107475334681,0,"(a0,a0,a1)"
0.209000000,0.107194966803,0,"(a0,a0,a1)"
0.210000000,0.106913816396,0,"(a0,a0,a1)"
0.211000000,0.106631883821,0,"(a0,a0,a1)"
0.212000000,0.106349169435,0,"(a0,a0,a1)"
